,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3774,70ASsm9nvUtTZtf3jmED78,Virtue,Kllo,2,2017-07-12,0.72,0.748,0,-7.497,1,0.363,0.045,0.122,0.26,127.994,220265,4
3775,6SUocL0caib4mLHe8ZrZzi,Sun Comes Up (feat. James Arthur),James Arthur,60,2017-06-30,0.619,0.858,10,-5.28,1,0.00791,0.0,0.173,0.23,106.017,232627,4
3776,4XGqzhzg4PDmdPEMWmi7r8,Parallel Lines (feat. Happy Sometimes),Happy Sometimes,43,2017-06-30,0.726,0.723,7,-3.827,1,0.212,0.0,0.113,0.211,108.028,200469,4
3777,3t0J8vI9StQD8KIBkT2Cp5,Tired - Kygo Remix,Kygo,59,2017-07-14,0.598,0.74,2,-7.391,1,0.026,0.0,0.0895,0.342,123.945,240000,4
3778,4FK7STjX4sDJgE3ePvpS08,Somebody New,Liza Owen,0,2017-06-23,0.548,0.861,9,-2.846,0,0.279,0.0,0.161,0.442,183.913,189960,4
3779,1Df02ZayHuygQL2y6vtQwQ,Higher Ground,Naomi Wild,0,2017-07-11,0.629,0.852,1,-5.103,1,0.0862,0.0203,0.273,0.419,104.987,215131,4
3780,7fSQ15k1JKFvehqCFQx42e,P.Y.T. (Pretty Young Thing),John Gibbons,36,2017-04-14,0.612,0.9,2,-2.101,1,0.0669,1.81e-06,0.431,0.341,124.514,195852,4
3781,2t6eEuwJeBBFgdPw2shJnL,Ashes,Tigerlily,0,2017-07-28,0.74,0.631,8,-6.667,1,0.351,5.12e-05,0.118,0.484,135.996,187003,4
3782,4X1bSg8uN6DWW2v3jK4acB,Hold Tight,Eon Melka,0,2017-06-23,0.881,0.638,1,-5.639,0,0.196,0.000286,0.0574,0.945,120.025,185750,4
3783,4govmU9nWC17G8WRIkhEFh,Show You Love,Hailee Steinfeld,50,2017-02-24,0.688,0.832,5,-5.15,0,0.292,0.0,0.0749,0.656,123.936,182720,4
3784,0oG8ldcaN9vQIk2TMLmloS,Momentum,Don Diablo,0,2017-07-21,0.761,0.928,9,-2.895,0,0.052,0.000387,0.0365,0.0398,126.071,169004,4
3785,79dTfwXAKDppfxStLn9Mqf,On Our Own,Natalie Major,0,2017-04-14,0.558,0.859,9,-3.822,0,0.0789,7.63e-06,0.0943,0.381,92.017,224212,4
3786,5Gp0t7jUdlbSfkLCgcedfs,Out of Love (feat. Whitney Phillips),Whitney Phillips,37,2017-06-16,0.762,0.638,0,-6.117,0,0.126,2.21e-06,0.132,0.473,104.961,206653,4
3787,4bQdmkolFiJxZWakolLhW7,Fractures (Trivecta Remix) [feat. Nevve],Nevve,37,2017-07-17,0.471,0.851,4,-4.621,1,0.0119,0.00231,0.128,0.196,160.017,301500,4
3788,7Bs0jDTYs8tcurqcaxunIg,"Afraid, Unafraid",Sydnee Carter,0,2017-04-13,0.529,0.739,9,-5.356,0,0.0144,0.000255,0.39,0.395,149.915,179200,4
3789,40wbxg77nK3ouaHTgH0AEe,Turn Up The Love,AlunaGeorge,0,2017-07-07,0.759,0.724,0,-3.97,0,0.0564,0.000116,0.0632,0.432,91.99,201362,4
3790,3aLSrx8qhssXrh5yjB6oy9,All Stars,ALMA,0,2017-06-16,0.775,0.722,1,-3.502,1,0.151,0.000724,0.058,0.649,124.037,170323,4
3791,4HYbW9oHQjEz3U0XMopuYI,High (feat. Shaggy & Demarco) - Festival Mix,Demarco,31,2017-04-13,0.712,0.905,2,-4.231,1,0.00212,0.00034,0.0579,0.379,103.06,245447,4
3792,70rYp3dhUBTz9Da3OgmlA1,Till You're Loved,Mr. Probz,0,2017-02-17,0.674,0.754,6,-4.34,0,0.208,0.0,0.164,0.57,101.424,180137,4
3793,3caMfJGFp53NAH2TuigdNj,Hunter,Galantis,0,2017-05-05,0.509,0.712,7,-5.747,1,0.186,0.0,0.102,0.653,99.831,183229,4
3794,1tUAm8Yh22BFkAT7T3hiLk,Wearing Nothing - Cheat Codes X CADE Remix,CADE,0,2017-07-07,0.689,0.627,6,-6.138,1,0.0232,0.0,0.228,0.382,119.968,208187,4
3795,0cNH1IsjBVRdeDcpwHAfve,Disconnect,MARINA,48,2017-06-23,0.642,0.734,0,-6.788,0,0.1,3.19e-05,0.102,0.622,123.972,252034,4
3796,1839RWzPRZCVgvamu4sHSN,All My Love (feat. Conor Maynard),Conor Maynard,54,2017-07-07,0.59,0.871,11,-3.353,0,0.148,0.0,0.0739,0.304,134.956,191331,4
3797,5ldB6zv381lRAIPBUjt4tI,Numb & Getting Colder - Baauer Remix,Baauer,0,2017-04-07,0.679,0.9,10,-4.559,0,0.00492,0.000108,0.292,0.341,104.89,225884,4
3798,2KdU5omfXAReSv4CNPFCyT,Hear Me Now,Zeeba,42,2017-02-24,0.788,0.43,11,-7.757,1,0.537,0.00261,0.0936,0.461,121.996,192846,4
3799,3id8FmSIJdZ6ym9LUuF58n,Trust,PT,15,2017-07-21,0.453,0.714,1,-6.296,0,0.0745,4.18e-05,0.185,0.377,193.67,192444,4
3800,0zazaImVAh8xdbQYDwz5Nx,Moon Landing Is A Hoax,Tyler Touché,0,2017-07-07,0.789,0.756,1,-7.402,1,0.0111,0.568,0.299,0.818,122.032,285286,4
3801,5fMpeV5TN9BRpeHIlE8VhD,Believe,Lil Yachty,0,2017-07-20,0.858,0.682,2,-4.519,1,0.0732,0.0,0.074,0.737,142.082,213732,4
3802,6YDk1ehvG1m2bDiG8LzkMZ,Want Your Body,Falcons,0,2017-07-06,0.64,0.972,0,-6.628,0,0.00167,0.697,0.33,0.885,160.078,172500,4
3803,4pElBNn0tiwxxTz2sntX5a,The Night Is Ours,ALPHA 9,34,2017-02-03,0.347,0.907,8,-5.738,1,0.367,0.531,0.635,0.317,171.019,171037,4
3804,4zaWjy4KPp3E3c6UxzKTgE,Lost In The Clouds,Keeno,21,2017-07-28,0.587,0.841,6,-4.272,1,0.00216,0.899,0.089,0.228,87.002,224346,4
3805,3fDgxdcf0jeJgGiZJGUmyK,Ya Kidding,FISHER,62,2017-06-30,0.813,0.983,1,-5.515,1,0.00177,0.546,0.502,0.77,125.007,238080,4
3806,2gUPZ6zPxtm1PLe3OdAVTs,Feel Fine,Patrick Lite,34,2017-06-19,0.735,0.66,9,-8.336,0,0.00108,0.815,0.305,0.489,122.965,216585,4
